"TiempoKey","Fecha","Año","Mes","Dia","NombreMes","Trimestre"
"168","15/06/2024 00:00:00","2024","6","15","June","2"
"169","16/06/2024 00:00:00","2024","6","16","June","2"
"170","17/06/2024 00:00:00","2024","6","17","June","2"
"171","18/06/2024 00:00:00","2024","6","18","June","2"
"172","19/06/2024 00:00:00","2024","6","19","June","2"
"173","20/06/2024 00:00:00","2024","6","20","June","2"
"174","21/06/2024 00:00:00","2024","6","21","June","2"
"175","22/06/2024 00:00:00","2024","6","22","June","2"
"176","23/06/2024 00:00:00","2024","6","23","June","2"
"177","24/06/2024 00:00:00","2024","6","24","June","2"
"178","25/06/2024 00:00:00","2024","6","25","June","2"
"179","26/06/2024 00:00:00","2024","6","26","June","2"
"180","27/06/2024 00:00:00","2024","6","27","June","2"
"181","28/06/2024 00:00:00","2024","6","28","June","2"
"182","29/06/2024 00:00:00","2024","6","29","June","2"
"183","30/06/2024 00:00:00","2024","6","30","June","2"
"184","1/07/2024 00:00:00","2024","7","1","July","3"
"185","2/07/2024 00:00:00","2024","7","2","July","3"
"186","3/07/2024 00:00:00","2024","7","3","July","3"
"187","4/07/2024 00:00:00","2024","7","4","July","3"
"188","5/07/2024 00:00:00","2024","7","5","July","3"
"189","6/07/2024 00:00:00","2024","7","6","July","3"
"190","7/07/2024 00:00:00","2024","7","7","July","3"
"191","8/07/2024 00:00:00","2024","7","8","July","3"
"192","9/07/2024 00:00:00","2024","7","9","July","3"
"193","10/07/2024 00:00:00","2024","7","10","July","3"
"194","11/07/2024 00:00:00","2024","7","11","July","3"
"195","12/07/2024 00:00:00","2024","7","12","July","3"
"196","13/07/2024 00:00:00","2024","7","13","July","3"
"197","14/07/2024 00:00:00","2024","7","14","July","3"
"198","15/07/2024 00:00:00","2024","7","15","July","3"
"199","16/07/2024 00:00:00","2024","7","16","July","3"
"200","17/07/2024 00:00:00","2024","7","17","July","3"
"201","18/07/2024 00:00:00","2024","7","18","July","3"
"202","19/07/2024 00:00:00","2024","7","19","July","3"
"203","20/07/2024 00:00:00","2024","7","20","July","3"
"204","21/07/2024 00:00:00","2024","7","21","July","3"
"205","22/07/2024 00:00:00","2024","7","22","July","3"
"206","23/07/2024 00:00:00","2024","7","23","July","3"
"207","24/07/2024 00:00:00","2024","7","24","July","3"
"208","25/07/2024 00:00:00","2024","7","25","July","3"
"209","26/07/2024 00:00:00","2024","7","26","July","3"
"210","27/07/2024 00:00:00","2024","7","27","July","3"
"211","28/07/2024 00:00:00","2024","7","28","July","3"
"212","29/07/2024 00:00:00","2024","7","29","July","3"
"213","30/07/2024 00:00:00","2024","7","30","July","3"
"214","31/07/2024 00:00:00","2024","7","31","July","3"
"215","1/08/2024 00:00:00","2024","8","1","August","3"
"216","2/08/2024 00:00:00","2024","8","2","August","3"
"217","3/08/2024 00:00:00","2024","8","3","August","3"
"218","4/08/2024 00:00:00","2024","8","4","August","3"
"219","5/08/2024 00:00:00","2024","8","5","August","3"
"220","6/08/2024 00:00:00","2024","8","6","August","3"
"221","7/08/2024 00:00:00","2024","8","7","August","3"
"222","8/08/2024 00:00:00","2024","8","8","August","3"
"223","9/08/2024 00:00:00","2024","8","9","August","3"
"224","10/08/2024 00:00:00","2024","8","10","August","3"
"225","11/08/2024 00:00:00","2024","8","11","August","3"
"226","12/08/2024 00:00:00","2024","8","12","August","3"
"227","13/08/2024 00:00:00","2024","8","13","August","3"
"228","14/08/2024 00:00:00","2024","8","14","August","3"
"229","15/08/2024 00:00:00","2024","8","15","August","3"
"230","16/08/2024 00:00:00","2024","8","16","August","3"
"231","17/08/2024 00:00:00","2024","8","17","August","3"
"232","18/08/2024 00:00:00","2024","8","18","August","3"
"233","19/08/2024 00:00:00","2024","8","19","August","3"
"234","20/08/2024 00:00:00","2024","8","20","August","3"
"235","21/08/2024 00:00:00","2024","8","21","August","3"
"236","22/08/2024 00:00:00","2024","8","22","August","3"
"237","23/08/2024 00:00:00","2024","8","23","August","3"
"238","24/08/2024 00:00:00","2024","8","24","August","3"
"239","25/08/2024 00:00:00","2024","8","25","August","3"
"240","26/08/2024 00:00:00","2024","8","26","August","3"
"241","27/08/2024 00:00:00","2024","8","27","August","3"
"242","28/08/2024 00:00:00","2024","8","28","August","3"
"243","29/08/2024 00:00:00","2024","8","29","August","3"
"244","30/08/2024 00:00:00","2024","8","30","August","3"
"245","31/08/2024 00:00:00","2024","8","31","August","3"
"246","1/09/2024 00:00:00","2024","9","1","September","3"
"247","2/09/2024 00:00:00","2024","9","2","September","3"
"248","3/09/2024 00:00:00","2024","9","3","September","3"
"249","4/09/2024 00:00:00","2024","9","4","September","3"
"250","5/09/2024 00:00:00","2024","9","5","September","3"
"251","6/09/2024 00:00:00","2024","9","6","September","3"
"252","7/09/2024 00:00:00","2024","9","7","September","3"
"253","8/09/2024 00:00:00","2024","9","8","September","3"
"254","9/09/2024 00:00:00","2024","9","9","September","3"
"255","10/09/2024 00:00:00","2024","9","10","September","3"
"256","11/09/2024 00:00:00","2024","9","11","September","3"
"257","12/09/2024 00:00:00","2024","9","12","September","3"
"258","13/09/2024 00:00:00","2024","9","13","September","3"
"259","14/09/2024 00:00:00","2024","9","14","September","3"
"260","15/09/2024 00:00:00","2024","9","15","September","3"
"261","16/09/2024 00:00:00","2024","9","16","September","3"
"262","17/09/2024 00:00:00","2024","9","17","September","3"
"263","18/09/2024 00:00:00","2024","9","18","September","3"
"264","19/09/2024 00:00:00","2024","9","19","September","3"
"265","20/09/2024 00:00:00","2024","9","20","September","3"
"266","21/09/2024 00:00:00","2024","9","21","September","3"
"267","22/09/2024 00:00:00","2024","9","22","September","3"
"268","23/09/2024 00:00:00","2024","9","23","September","3"
"269","24/09/2024 00:00:00","2024","9","24","September","3"
"270","25/09/2024 00:00:00","2024","9","25","September","3"
"271","26/09/2024 00:00:00","2024","9","26","September","3"
"272","27/09/2024 00:00:00","2024","9","27","September","3"
"273","28/09/2024 00:00:00","2024","9","28","September","3"
"274","29/09/2024 00:00:00","2024","9","29","September","3"
